"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Jerome\Desktop\BlogPost - Copy\controller\authController.js", "JavaScript", 0, 77, 0, 0, 0, 0, 10, 23, 110
"c:\Users\Jerome\Desktop\BlogPost - Copy\controller\blogController.js", "JavaScript", 0, 76, 0, 0, 0, 0, 6, 18, 100
"c:\Users\Jerome\Desktop\BlogPost - Copy\controller\reviewController.js", "JavaScript", 0, 73, 0, 0, 0, 0, 3, 21, 97
"c:\Users\Jerome\Desktop\BlogPost - Copy\controller\userController.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 5, 18
"c:\Users\Jerome\Desktop\BlogPost - Copy\controller\viewsController.js", "JavaScript", 0, 47, 0, 0, 0, 0, 11, 21, 79
"c:\Users\Jerome\Desktop\BlogPost - Copy\miniblog\about.html", "HTML", 0, 0, 220, 0, 0, 0, 3, 32, 255
"c:\Users\Jerome\Desktop\BlogPost - Copy\miniblog\category.html", "HTML", 0, 0, 289, 0, 0, 0, 3, 45, 337
"c:\Users\Jerome\Desktop\BlogPost - Copy\miniblog\single.html", "HTML", 0, 0, 418, 0, 0, 0, 10, 57, 485
"c:\Users\Jerome\Desktop\BlogPost - Copy\model\blogModel.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 8, 36
"c:\Users\Jerome\Desktop\BlogPost - Copy\model\reviewModel.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Jerome\Desktop\BlogPost - Copy\model\userModel.js", "JavaScript", 0, 43, 0, 0, 0, 0, 1, 12, 56
"c:\Users\Jerome\Desktop\BlogPost - Copy\package-lock.json", "JSON", 1593, 0, 0, 0, 0, 0, 0, 1, 1594
"c:\Users\Jerome\Desktop\BlogPost - Copy\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\aos.css", "CSS", 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\bootstrap-datepicker.css", "CSS", 0, 0, 0, 463, 0, 0, 1, 1, 465
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\bootstrap\bootstrap-grid.css", "CSS", 0, 0, 0, 1599, 0, 0, 0, 105, 1704
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\bootstrap\bootstrap-reboot.css", "CSS", 0, 0, 0, 213, 0, 0, 0, 55, 268
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\bootstrap\bootstrap.css", "CSS", 0, 0, 0, 6593, 0, 0, 0, 729, 7322
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\bootstrap\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\bootstrap\comment.css", "CSS", 0, 0, 0, 62, 0, 0, 15, 0, 77
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\jquery-ui.css", "CSS", 0, 0, 0, 588, 0, 0, 32, 26, 646
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\magnific-popup.css", "CSS", 0, 0, 0, 310, 0, 0, 5, 36, 351
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\main.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\mediaelementplayer.css", "CSS", 0, 0, 0, 649, 0, 0, 20, 103, 772
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\owl.carousel.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\owl.theme.default.min.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\css\style.css", "CSS", 0, 0, 0, 1177, 0, 0, 2, 105, 1284
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\flaticon\font\Flaticon.svg", "XML", 0, 0, 0, 0, 0, 77, 3, 2, 82
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\flaticon\font\_flaticon.css", "CSS", 0, 0, 0, 35, 0, 0, 4, 9, 48
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\flaticon\font\_flaticon.scss", "SCSS", 0, 0, 0, 0, 43, 0, 4, 5, 52
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\flaticon\font\flaticon.css", "CSS", 0, 0, 0, 34, 0, 0, 5, 5, 44
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\flaticon\font\flaticon.html", "HTML", 0, 0, 441, 0, 0, 0, 4, 40, 485
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\icomoon\demo-files\demo.css", "CSS", 0, 0, 0, 154, 0, 0, 0, 2, 156
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\icomoon\demo-files\demo.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\icomoon\demo.html", "HTML", 0, 0, 24502, 0, 0, 0, 2, 1634, 26138
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\icomoon\fonts\icomoon.svg", "XML", 0, 0, 0, 0, 0, 1530, 0, 0, 1530
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\icomoon\selection.json", "JSON", 41190, 0, 0, 0, 0, 0, 0, 0, 41190
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\fonts\icomoon\style.css", "CSS", 0, 0, 0, 4914, 0, 0, 2, 4, 4920
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\aos.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\bootstrap-datepicker.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 7, 0, 9
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\createCommnt.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\delete.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 9, 24
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\jquery-3.3.1.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\jquery-migrate-3.0.1.min.js", "JavaScript", 0, 213, 0, 0, 0, 0, 1, 1, 215
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\jquery-ui.js", "JavaScript", 0, 1276, 0, 0, 0, 0, 159, 300, 1735
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\jquery.countdown.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 21, 0, 22
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\jquery.magnific-popup.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\jquery.stellar.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\login.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 8, 35
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\logout.js", "JavaScript", 0, 17, 0, 0, 0, 0, 2, 5, 24
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\main.js", "JavaScript", 0, 213, 0, 0, 0, 0, 3, 46, 262
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\mediaelement-and-player.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 11, 0, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\owl.carousel.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 5, 0, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\popper.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\signup.js", "JavaScript", 0, 27, 0, 0, 0, 0, 2, 11, 40
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\slick.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\js\wordeffect.js", "JavaScript", 0, 41, 0, 0, 0, 0, 11, 14, 66
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\_site-base.scss", "SCSS", 0, 0, 0, 0, 271, 0, 18, 29, 318
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\_site-blocks.scss", "SCSS", 0, 0, 0, 0, 869, 0, 13, 51, 933
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\_site-navbar.scss", "SCSS", 0, 0, 0, 0, 312, 0, 5, 28, 345
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_alert.scss", "SCSS", 0, 0, 0, 0, 29, 0, 13, 11, 53
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_badge.scss", "SCSS", 0, 0, 0, 0, 28, 0, 12, 8, 48
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_breadcrumb.scss", "SCSS", 0, 0, 0, 0, 29, 0, 8, 5, 42
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_button-group.scss", "SCSS", 0, 0, 0, 0, 109, 0, 31, 33, 173
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_buttons.scss", "SCSS", 0, 0, 0, 0, 90, 0, 24, 31, 145
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_card.scss", "SCSS", 0, 0, 0, 0, 216, 0, 30, 56, 302
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_carousel.scss", "SCSS", 0, 0, 0, 0, 175, 0, 29, 33, 237
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_close.scss", "SCSS", 0, 0, 0, 0, 23, 0, 7, 6, 36
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_code.scss", "SCSS", 0, 0, 0, 0, 36, 0, 6, 7, 49
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_custom-forms.scss", "SCSS", 0, 0, 0, 0, 333, 0, 39, 62, 434
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_dropdown.scss", "SCSS", 0, 0, 0, 0, 133, 0, 15, 19, 167
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_forms.scss", "SCSS", 0, 0, 0, 0, 206, 0, 74, 54, 334
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_functions.scss", "SCSS", 0, 0, 0, 0, 54, 0, 19, 14, 87
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_grid.scss", "SCSS", 0, 0, 0, 0, 28, 0, 15, 10, 53
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_images.scss", "SCSS", 0, 0, 0, 0, 22, 0, 13, 8, 43
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_input-group.scss", "SCSS", 0, 0, 0, 0, 113, 0, 32, 29, 174
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_jumbotron.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_list-group.scss", "SCSS", 0, 0, 0, 0, 70, 0, 22, 24, 116
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_media.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_mixins.scss", "SCSS", 0, 0, 0, 0, 30, 0, 7, 5, 42
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_modal.scss", "SCSS", 0, 0, 0, 0, 121, 0, 33, 27, 181
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_nav.scss", "SCSS", 0, 0, 0, 0, 76, 0, 19, 24, 119
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_navbar.scss", "SCSS", 0, 0, 0, 0, 197, 0, 47, 56, 300
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_pagination.scss", "SCSS", 0, 0, 0, 0, 62, 0, 5, 12, 79
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_popover.scss", "SCSS", 0, 0, 0, 0, 150, 0, 5, 29, 184
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_print.scss", "SCSS", 0, 0, 0, 0, 84, 0, 33, 25, 142
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_progress.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 5, 35
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_reboot.scss", "SCSS", 0, 0, 0, 0, 264, 0, 136, 84, 484
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_root.scss", "SCSS", 0, 0, 0, 0, 13, 0, 3, 4, 20
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_tables.scss", "SCSS", 0, 0, 0, 0, 122, 0, 28, 38, 188
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_tooltip.scss", "SCSS", 0, 0, 0, 0, 93, 0, 5, 18, 116
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_transitions.scss", "SCSS", 0, 0, 0, 0, 17, 0, 1, 5, 23
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_type.scss", "SCSS", 0, 0, 0, 0, 82, 0, 20, 24, 126
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_utilities.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_variables.scss", "SCSS", 0, 0, 0, 0, 625, 0, 96, 239, 960
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\bootstrap-grid.scss", "SCSS", 0, 0, 0, 0, 20, 0, 6, 7, 33
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\bootstrap-reboot.scss", "SCSS", 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\bootstrap.scss", "SCSS", 0, 0, 0, 0, 35, 0, 6, 2, 43
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_alert.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_background-variant.scss", "SCSS", 0, 0, 0, 0, 16, 0, 2, 4, 22
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_badge.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_border-radius.scss", "SCSS", 0, 0, 0, 0, 29, 0, 1, 6, 36
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_box-shadow.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 69, 0, 44, 11, 124
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 86, 0, 10, 14, 110
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_caret.scss", "SCSS", 0, 0, 0, 0, 59, 0, 0, 8, 67
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_clearfix.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_float.scss", "SCSS", 0, 0, 0, 0, 9, 0, 1, 2, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_forms.scss", "SCSS", 0, 0, 0, 0, 115, 0, 14, 19, 148
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_gradients.scss", "SCSS", 0, 0, 0, 0, 34, 0, 7, 5, 46
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_grid-framework.scss", "SCSS", 0, 0, 0, 0, 50, 0, 8, 10, 68
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_grid.scss", "SCSS", 0, 0, 0, 0, 35, 0, 10, 8, 53
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_hover.scss", "SCSS", 0, 0, 0, 0, 23, 0, 10, 5, 38
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_image.scss", "SCSS", 0, 0, 0, 0, 12, 0, 17, 8, 37
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_list-group.scss", "SCSS", 0, 0, 0, 0, 17, 0, 1, 4, 22
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_lists.scss", "SCSS", 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_nav-divider.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 2, 11
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_pagination.scss", "SCSS", 0, 0, 0, 0, 19, 0, 1, 3, 23
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_reset-text.scss", "SCSS", 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_resize.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_screen-reader.scss", "SCSS", 0, 0, 0, 0, 21, 0, 9, 4, 34
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_size.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_table-row.scss", "SCSS", 0, 0, 0, 0, 21, 0, 5, 5, 31
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_text-emphasis.scss", "SCSS", 0, 0, 0, 0, 10, 0, 2, 3, 15
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_text-hide.scss", "SCSS", 0, 0, 0, 0, 10, 0, 2, 2, 14
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 5, 0, 2, 2, 9
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_visibility.scss", "SCSS", 0, 0, 0, 0, 3, 0, 2, 3, 8
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_align.scss", "SCSS", 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_background.scss", "SCSS", 0, 0, 0, 0, 14, 0, 1, 5, 20
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_borders.scss", "SCSS", 0, 0, 0, 0, 43, 0, 7, 10, 60
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_clearfix.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_display.scss", "SCSS", 0, 0, 0, 0, 25, 0, 7, 7, 39
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_embed.scss", "SCSS", 0, 0, 0, 0, 44, 0, 1, 8, 53
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_flex.scss", "SCSS", 0, 0, 0, 0, 39, 0, 4, 9, 52
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_float.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_position.scss", "SCSS", 0, 0, 0, 0, 25, 0, 5, 8, 38
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_screenreaders.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 3, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_shadows.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_sizing.scss", "SCSS", 0, 0, 0, 0, 7, 0, 2, 4, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_spacing.scss", "SCSS", 0, 0, 0, 0, 43, 0, 3, 6, 52
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_text.scss", "SCSS", 0, 0, 0, 0, 30, 0, 10, 19, 59
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_visibility.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 3, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\style.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 1, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\blogRoutes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 5, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\reviewRoutes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\userRoutes.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 5, 16
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\viewsRoute.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\server.js", "JavaScript", 0, 121, 0, 0, 0, 0, 13, 81, 215
"c:\Users\Jerome\Desktop\BlogPost - Copy\util\appError.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\404.ejs", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\contact.ejs", "HTML", 0, 0, 174, 0, 0, 0, 3, 44, 221
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\createBlog.ejs", "HTML", 0, 0, 152, 0, 0, 0, 7, 39, 198
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\index.ejs", "HTML", 0, 0, 234, 0, 0, 0, 4, 52, 290
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\login.ejs", "HTML", 0, 0, 141, 0, 0, 0, 3, 38, 182
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\myblogs.ejs", "HTML", 0, 0, 147, 0, 0, 0, 3, 41, 191
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\signup.ejs", "HTML", 0, 0, 151, 0, 0, 0, 3, 37, 191
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\single.ejs", "HTML", 0, 0, 178, 0, 0, 0, 30, 67, 275
"Total", "-", 42809, 2411, 27059, 16829, 6282, 1607, 1544, 5300, 103841